codigo,descripcion,tipo,u_m,agrupacion,vr_unitario,iva_porcentaje,vr_neto,iva_descontable,excluye_iva,usuario_modificacion,fecha_modificacion
0,ACTIVIDAD A TODO COSTO,null - X,null - ,null - null,654.0,0,654.0,True,False,,2006-04-07
101,DPS PARA PROTECCION DE STRINGS,EQUIPO - E,UNIDAD - UND,015 - 015 - REDES ELECTRICAS,1.0,19,1.19,True,False,,
102,MASCARA RESPIRAT. MEDIA CARA,ELEMEN. PROTECCION - P,UNIDAD - UND,029 - 029 - SG-SST,1.0,19,1.19,True,False,NOLYS ALEYDA ACOSTA MORALES,2025-07-21
103,MOTONIVELADORA/UND,MAQUINARIA - B,UNIDAD - UND,022 - 022 - MAQUINARIA Y EQUIPO,1.0,19,1.19,True,False,DIEGO ANDRES RODRIGUEZ RODRIGUEZ,2025-07-29
104,PUERTA TRIPLEX ENTAMBORADA 0.60-0.80 X 2.00 MTS (INCLUYE HOJA Y ACABADO),MATERIAL - M,UNIDAD - UND,019 - 019 - CARPINTERIA MADERA,1.0,19,1.19,True,False,DIEGO ANDRES RODRIGUEZ RODRIGUEZ,2025-07-21
105,"PUERTA TRIPLEX ENTAMBORADA 0.60-0.80 X 2.00 MTS (INCLUYE HOJA, MARCO Y ACABADO)",MATERIAL - M,UNIDAD - UND,019 - 019 - CARPINTERIA MADERA,1.0,19,1.19,True,False,DIEGO ANDRES RODRIGUEZ RODRIGUEZ,2025-07-21
106,"PUERTA TRIPLEX ENTAMBORADA 0.81-1,00 X 2.00 MTS (INCLUYE HOJA Y ACABADO)",MATERIAL - M,UNIDAD - UND,019 - 019 - CARPINTERIA MADERA,1.0,19,1.19,True,False,DIEGO ANDRES RODRIGUEZ RODRIGUEZ,2025-07-21
107,"PUERTA TRIPLEX ENTAMBORADA 0.81-1,00 X 2.00 MTS (INCLUYE HOJA, MARCO Y ACABADO)",MATERIAL - M,UNIDAD - UND,019 - 019 - CARPINTERIA MADERA,1.0,19,1.19,True,False,DIEGO ANDRES RODRIGUEZ RODRIGUEZ,2025-07-29
108,EXTRACTOR 1/10 HP. CAUDAL: 0.7 M3/S. REVOLUCIONES: 1700RPM. AMPERAJE: 1.3,MATERIAL - M,UNIDAD - UND,028 - 028 - EQUIPOS TECNOLOGICOS,1.0,19,1.19,True,False,MARIA PAULA BALLEN MANOSALVA,2025-07-29
109,ABRAZADERA 1 SALIDA DIAMETRO 180 MM.,MATERIAL - M,UNIDAD - UND,015 - 015 - REDES ELECTRICAS,1.0,19,1.19,True,False,MARIA PAULA BALLEN MANOSALVA,2025-07-29
110,ABRAZADERA 1 SALIDA DIAMETRO 220 MM,MATERIAL - M,UNIDAD - UND,015 - 015 - REDES ELECTRICAS,1.0,19,1.19,True,False,DIEGO ANDRES RODRIGUEZ RODRIGUEZ,2025-09-22
111,ABRAZADERA 2 SALIDAS DIAMETRO 240 MM.,MATERIAL - M,UNIDAD - UND,015 - 015 - REDES ELECTRICAS,1.0,19,1.19,True,False,DIEGO ANDRES RODRIGUEZ RODRIGUEZ,2025-09-22
112,ABRAZADERA METALICA 1/2 PULG. CON TORNILLO,MATERIAL - M,UNIDAD - UND,"014 - 014 - INSTALACIONES ELECTRICAS, VOZ Y DATOS",1.0,19,1.19,True,False,MARIA PAULA BALLEN MANOSALVA,2026-06-03
113,"ABRAZADERA TIPO HORQUILLA 2""",MATERIAL - M,UNIDAD - UND,020 - 020 - FERRETERIA MENOR,1.0,19,1.19,True,False,DIEGO ANDRES RODRIGUEZ RODRIGUEZ,2025-09-16
114,ACCES POINT,EQUIPO - E,UNIDAD - UND,028 - 028 - EQUIPOS TECNOLOGICOS,1.0,0,1.0,True,False,,
115,"ACCESORIO PVC PRESION DE 1""",MATERIAL - M,UNIDAD - UND,011 - 011 - GRIFERIA Y APARATOS HIDROSANITARIOS,1.0,19,1.19,True,False,DIEGO ANDRES RODRIGUEZ RODRIGUEZ,2025-09-16
116,"ACCESORIO PVC PRESION DE 1""-1/4",MATERIAL - M,UNIDAD - UND,011 - 011 - GRIFERIA Y APARATOS HIDROSANITARIOS,1.0,19,1.19,True,False,DIEGO ANDRES RODRIGUEZ RODRIGUEZ,2025-09-16
117,"ACCESORIO PVC PRESION DE 1/2""",MATERIAL - M,UNIDAD - UND,011 - 011 - GRIFERIA Y APARATOS HIDROSANITARIOS,1.0,19,1.19,True,False,DIEGO ANDRES RODRIGUEZ RODRIGUEZ,2025-09-16
118,"ACCESORIO PVC PRESION DE 1/2"" (CAMARA DE AIRE DE 0,15M)",MATERIAL - M,UNIDAD - UND,011 - 011 - GRIFERIA Y APARATOS HIDROSANITARIOS,1.0,19,1.19,True,False,DIEGO ANDRES RODRIGUEZ RODRIGUEZ,2025-09-16
119,"ACCESORIO PVC PRESION DE 3/4""",MATERIAL - M,UNIDAD - UND,011 - 011 - GRIFERIA Y APARATOS HIDROSANITARIOS,1.0,19,1.19,True,False,DIEGO ANDRES RODRIGUEZ RODRIGUEZ,2025-09-16
120,"ACCESORIO PVC PRESION DE 4""",MATERIAL - M,UNIDAD - UND,011 - 011 - GRIFERIA Y APARATOS HIDROSANITARIOS,1.0,19,1.19,True,False,DIEGO ANDRES RODRIGUEZ RODRIGUEZ,2025-09-16
121,"ACCESORIO PVC PRESION EN 3""",MATERIAL - M,UNIDAD - UND,011 - 011 - GRIFERIA Y APARATOS HIDROSANITARIOS,1.0,19,1.19,True,False,DIEGO ANDRES RODRIGUEZ RODRIGUEZ,2025-09-16
122,"ACCESORIO PVC SANITARIOS EN 2""",MATERIAL - M,UNIDAD - UND,011 - 011 - GRIFERIA Y APARATOS HIDROSANITARIOS,1.0,19,1.19,True,False,DIEGO ANDRES RODRIGUEZ RODRIGUEZ,2025-09-16
